78.063,78.166,78.314,78.461,78.612,78.712,78.869,78.97,79.067,79.266,79.37,79.465,79.616,79.719,79.867,80.018,80.114,80.268,80.368,80.517,80.617,80.768,80.868,80.968,81.119,81.268,81.368,81.519,81.619,81.72,81.869,82.02,82.12,82.22,82.371,82.471,82.62,82.771,82.871,82.971,83.071,83.222,83.371,83.471,83.622,83.722,83.822,83.971,84.122,84.222,84.322,84.473,84.573,84.722,84.822,84.973,85.073,85.173,85.373,85.473,85.573,85.673,85.824,85.924,86.073,86.224
76.912,77.064,77.167,77.313,77.459,77.614,77.712,77.869,77.968,78.116,78.265,78.37,78.466,78.616,78.718,78.918,79.017,79.117,79.268,79.368,79.517,79.668,79.768,79.868,79.968,80.168,80.268,80.368,80.519,80.62,80.72,80.92,81.02,81.12,81.22,81.371,81.471,81.62,81.771,81.871,81.971,82.071,82.271,82.371,82.471,82.622,82.722,82.822,82.971,83.122,83.222,83.322,83.473,83.573,83.722,83.822,83.973,84.073,84.173,84.373,84.473,84.573,84.724,84.824,84.973,85.073
75.813,75.912,76.065,76.167,76.312,76.461,76.615,76.711,76.867,76.967,77.115,77.266,77.371,77.518,77.617,77.767,77.918,78.017,78.117,78.268,78.368,78.517,78.668,78.768,78.868,78.968,79.168,79.268,79.368,79.52,79.62,79.72,79.92,80.02,80.12,80.22,80.371,80.471,80.62,80.771,80.871,80.971,81.071,81.271,81.371,81.471,81.622,81.722,81.822,81.971,82.122,82.222,82.322,82.473,82.622,82.722,82.873,82.973,83.073,83.173,83.373,83.473,83.573,83.724,83.824,83.973
74.611,74.815,74.963,75.065,75.219,75.314,75.462,75.616,75.709,75.867,75.966,76.166,76.266,76.371,76.518,76.616,76.767,76.917,77.017,77.117,77.268,77.417,77.517,77.668,77.768,77.868,78.019,78.168,78.268,78.368,78.52,78.62,78.72,78.92,79.02,79.12,79.22,79.371,79.52,79.62,79.771,79.871,79.971,80.122,80.271,80.371,80.471,80.622,80.722,80.822,81.022,81.122,81.222,81.322,81.473,81.622,81.722,81.873,81.973,82.073,82.173,82.373,82.473,82.573,82.724,82.824
73.514,73.717,73.818,73.962,74.065,74.223,74.365,74.513,74.615,74.708,74.866,74.966,75.166,75.265,75.37,75.516,75.615,75.766,75.917,76.017,76.117,76.268,76.417,76.517,76.668,76.768,76.868,77.019,77.168,77.268,77.369,77.52,77.62,77.768,77.92,78.02,78.12,78.271,78.371,78.52,78.62,78.771,78.871,78.971,79.122,79.271,79.371,79.471,79.622,79.722,79.871,80.022,80.122,80.222,80.322,80.473,80.622,80.722,80.873,80.973,81.073,81.173,81.373,81.473,81.573,81.724
72.411,72.566,72.721,72.821,72.963,73.062,73.223,73.366,73.513,73.612,73.706,73.866,74.014,74.165,74.264,74.368,74.515,74.667,74.765,74.916,75.015,75.114,75.265,75.414,75.514,75.666,75.766,75.866,76.066,76.166,76.266,76.417,76.517,76.617,76.766,76.917,77.017,77.117,77.268,77.368,77.517,77.617,77.768,77.868,77.969,78.169,78.269,78.369,78.469,78.62,78.72,78.869,79.02,79.12,79.22,79.32,79.471,79.62,79.72,79.871,79.971,80.071,80.22,80.371,80.471,80.571
71.303,71.409,71.625,71.726,71.875,71.959,72.113,72.275,72.418,72.51,72.612,72.757,72.914,73.013,73.163,73.262,73.418,73.518,73.665,73.816,73.915,74.014,74.165,74.314,74.414,74.566,74.666,74.766,74.866,75.066,75.166,75.266,75.417,75.517,75.617,75.817,75.917,76.017,76.117,76.268,76.417,76.517,76.668,76.768,76.869,76.969,77.169,77.269,77.369,77.52,77.62,77.72,77.869,78.02,78.12,78.22,78.371,78.471,78.62,78.72,78.871,78.971,79.071,79.271,79.371,79.471
70.154,70.302,70.414,70.634,70.733,70.871,70.958,71.116,71.278,71.416,71.51,71.611,71.756,71.912,72.063,72.161,72.26,72.418,72.565,72.664,72.815,72.914,73.013,73.165,73.314,73.414,73.566,73.666,73.766,73.917,74.066,74.166,74.266,74.417,74.517,74.666,74.817,74.917,75.017,75.117,75.268,75.417,75.517,75.668,75.769,75.869,75.969,76.169,76.269,76.369,76.52,76.62,76.72,76.869,77.02,77.12,77.22,77.371,77.52,77.62,77.72,77.871,77.971,78.071,78.271,78.371
69.063,69.202,69.305,69.519,69.648,69.78,69.874,70.015,70.171,70.328,70.418,70.511,70.664,70.804,70.912,71.062,71.162,71.318,71.416,71.564,71.715,71.814,71.913,72.065,72.214,72.314,72.415,72.566,72.666,72.766,72.966,73.066,73.166,73.317,73.417,73.517,73.666,73.817,73.917,74.017,74.168,74.268,74.417,74.517,74.669,74.769,74.869,75.069,75.169,75.269,75.369,75.52,75.62,75.769,75.92,76.02,76.12,76.22,76.371,76.52,76.62,76.771,76.871,76.971,77.12,77.271
67.984,68.109,68.206,68.413,68.534,68.692,68.787,68.937,69.073,69.168,69.333,69.42,69.565,69.664,69.805,69.962,70.063,70.167,70.316,70.464,70.564,70.714,70.813,70.914,71.065,71.214,71.315,71.466,71.566,71.666,71.817,71.966,72.066,72.166,72.317,72.417,72.566,72.717,72.817,72.917,73.017,73.168,73.317,73.417,73.569,73.669,73.769,73.869,74.069,74.169,74.269,74.42,74.52,74.62,74.769,74.92,75.02,75.12,75.22,75.42,75.52,75.62,75.771,75.871,75.971,76.12
